,Unnamed: 0,Make,Model,Variant,Ex-Showroom_Price,Displacement,Cylinders,Valves_Per_Cylinder,Drivetrain,Cylinder_Configuration,Emission_Norm,Engine_Location,Fuel_System,Fuel_Tank_Capacity,Fuel_Type,Height,Length,Width,Body_Type,Doors,City_Mileage,Highway_Mileage,ARAI_Certified_Mileage,ARAI_Certified_Mileage_for_CNG,Kerb_Weight,Gears,Ground_Clearance,Front_Brakes,Rear_Brakes,Front_Suspension,Rear_Suspension,Power_Steering,Power_Windows,Power_Seats,Keyless_Entry,Power,Torque,Odometer,Speedometer,Tripmeter,Seating_Capacity,Type,Wheelbase,Wheels_Size,Start_/_Stop_Button,12v_Power_Outlet,Audiosystem,Aux-in_Compatibility,Average_Fuel_Consumption,Basic_Warranty,Bluetooth,Boot-lid_Opener,Boot_Space,CD_/_MP3_/_DVD_Player,Central_Locking,Child_Safety_Locks,Clock,Cup_Holders,Distance_to_Empty,Door_Pockets,Engine_Malfunction_Light,Extended_Warranty,FM_Radio,Fuel-lid_Opener,Fuel_Gauge,Handbrake,Instrument_Console,Low_Fuel_Warning,Minimum_Turning_Radius,Multifunction_Display,Sun_Visor,Third_Row_AC_Vents,Ventilation_System,Auto-Dimming_Rear-View_Mirror,Hill_Assist,Gear_Indicator,3_Point_Seat-Belt_in_Middle_Rear_Seat,Ambient_Lightning,Cargo/Boot_Lights,Drive_Modes,Engine_Immobilizer,High_Speed_Alert_System,Lane_Watch_Camera/_Side_Mirror_Camera,Passenger_Side_Seat-Belt_Reminder,Seat_Back_Pockets,Voice_Recognition,Walk_Away_Auto_Car_Lock,ABS_(Anti-lock_Braking_System),Headlight_Reminder,Adjustable_Headrests,Gross_Vehicle_Weight,Airbags,Door_Ajar_Warning,EBD_(Electronic_Brake-force_Distribution),Fasten_Seat_Belt_Warning,Gear_Shift_Reminder,Number_of_Airbags,Compression_Ratio,Adjustable_Steering_Column,Other_Specs,Other_specs,Parking_Assistance,Key_Off_Reminder,USB_Compatibility,Android_Auto,Apple_CarPlay,Unnamed: 112,Infotainment_Screen,Multifunction_Steering_Wheel,Average_Speed,EBA_(Electronic_Brake_Assist),Seat_Height_Adjustment,Navigation_System
53,286,Audi,A6,Premium Plus 45 Tfsi,5442200,1984 cc,4.0,16.0,FWD (Front Wheel Drive),In-line,BS 6,"Front, Longitudinal",Injection,73 litres,Petrol,1455 mm,4933 mm,1874 mm,Sedan,4.0,,,14.11 km/litre,,1780 kg,7,,Ventilated Disc,Ventilated Disc,Five-link front suspension; tubular anti-roll bar,Five-link front suspension; tubular anti-roll bar,Electric Power,All Windows,"Yes, with memory",Smart Key,245PS@5000-6500rpm,370Nm@1600-4500rpm,Digital,Analog,Yes,5.0,Automatic,2912 mm,225/55 R18,Yes,Yes,CD/MP3/DVD Player with USB & Aux-in,Yes,Yes,,Yes,With Remote,560 litres,Yes,Yes,Yes,Digital,Front & Rear,Yes,Front & Rear,Yes,,Yes,"Internal, With Remote",Digital,Automatic,Digital,Yes,,Yes,Driver & Front Passenger,,2 Zone Climate Control,Yes,Yes,Yes,,Yes,Yes,"Comfort, Eco, Sport, Normal",Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,All Rows,2345 kg,"Rear passenger curtain airbags, Driver frontal airbag, Front passenger frontal airbag, Front passenger side airbag, Drive side airbag, Front passenger curtain airbag, Driver curtain airbag",Yes,Yes,Yes,Yes,8.0,,Yes,,,Front & rear sensors with 360 degree view,Yes,Yes,Yes,Yes,,Touch Sensitive,"Multifunction Steering Wheel, With gear shift paddles",Yes,Yes,Electric Adjustment with Memory,Yes
54,288,Bmw,X3,Xdrive 20D Luxury Line,5930000,1995 cc,4.0,4.0,4WD,In-line,BS IV,"Front, Longitudinal",Injection,67 litres,Diesel,1678 mm,4657 mm,1881 mm,SUV,5.0,16 km/litre,18.56 km/litre,18.56 km/litre,,1785 kg,8,212 mm,Ventilated Disc,Ventilated Disc,Dynamic Damper Control,Dynamic Damper Control,Electric Power,All Windows,Yes,Smart Key,190PS@4000rpm,400Nm@1750-2500rpm,Digital,Analog,Yes,5.0,Automatic,2810 mm,225/60R19,Yes,Yes,CD Player with USB & Aux-in,Yes,Yes,2 years / Unlimited Kms,Yes,"With Remote, Internal",550 litres,Yes,Yes,Yes,Digital,Front & Rear,Yes,Front,Yes,,Yes,Internal,Analog,Automatic,Analog + Digital,Yes,5.95 meter,Yes,Driver & Front Passenger,Not Applicable,2 Zone Climate Control,,Yes,Yes,,,,,Yes,,,,Yes,,,Yes,Yes,All Rows,2300 kg,"Curtain airbags, Driver frontal airbag, Front passenger frontal airbag, Front passenger side airbag, Drive side airbag",Yes,Yes,Yes,Yes,6.0,,"Rake, Reach",,,Rear sensors with camera,Yes,Yes,,,,Touch Sensitive,Multifunction Steering Wheel,Yes,Yes,Electric Adjustment with Memory,
55,291,Land Rover,Discovery Sport,S,5706000,1999 cc,4.0,4.0,4WD,In-line,BS 6,"Front, Transverse",Injection,70 litres,Diesel,1727 mm,4600 mm,2069 mm,SUV,5.0,,,,,2087 kg,9,167 mm,Ventilated Disc,Ventilated Disc,McPherson Strut,Integral link,Electric Power,All Windows,Yes,Smart Key,179PS@4000rpm,430NM@1750rpm,Digital,Analog,Yes,7.0,Automatic,2741 mm,235/60 R18,Yes,Yes,CD Player with USB & Aux-in,Yes,Yes,3 Years / 100000 km (whichever comes first),Yes,"Internal, With Remote",,Yes,Yes,Yes,Digital,Front & Rear,Yes,Front,Yes,,Yes,Internal,Digital,Automatic,Analog + Digital,Yes,11.6 meter,Yes,Driver & Front Passenger,Yes,Fully automatic climate control,Yes,Yes,Yes,Yes,Yes,Yes,"Comfort, Eco, Sport",Yes,Yes,Yes,Yes,,Yes,Yes,Yes,,All Rows,,"Curtain airbags, Driver frontal airbag, Front passenger frontal airbag, Front passenger side airbag, Driver knee airbag, Drive side airbag",Yes,Yes,Yes,Yes,7.0,,"Rake, Reach",,,Front & rear sensors with 360 degree view,,Yes,Yes,Yes,,Touch Sensitive,Multifunction Steering Wheel,,Yes,Manual Adjustment,Yes
56,293,Volvo,S90,D4 Inscription,5890000,1969 cc,4.0,4.0,FWD (Front Wheel Drive),In-line,BS IV,"Front, Longitudinal",Injection,,Diesel,1443 mm,4963 mm,1879 mm,Sedan,4.0,"11,44 km/litre",,,,,,152 mm,Ventilated Disc,Ventilated Disc,Double wishbone suspension,Integral Axle with Transverse Composite Leaf Spring,Electric Power,All Windows,"Yes, with memory",Smart Key,190PS@4250rpm,400NM@1750rpm,Analog,"Analog, Digital",Yes,5.0,Automatic,2941 mm,245/45R18,Yes,Yes,CD/MP3/DVD Player with USB & Aux-in,Yes,Yes,,Yes,"Internal, With Remote",,Yes,Yes,Yes,Digital,Front & Rear,Yes,Front & Rear,Yes,,Yes,"With Remote, Internal",Digital,Manual,Digital,Yes,,Yes,Driver & Front Passenger,Not Applicable,4 Zone climate control,,Yes,Yes,,,,,Yes,,,,Yes,,,Yes,Yes,All Rows,,"Curtain airbags, Driver frontal airbag, Front passenger frontal airbag, Front passenger curtain airbag, Driver curtain airbag, Rear passenger curtain airbags",Yes,Yes,Yes,Yes,6.0,,"Reach, Rake",,,Front & rear sensors with 360 degree view,Yes,Yes,,,,Touch Sensitive,Multifunction Steering Wheel,Yes,Yes,Manual Adjustment,Yes
57,294,Audi,S5,Sportback,7243000,2995 cc,6.0,4.0,AWD (All Wheel Drive),V,BS IV,"Front, Longitudinal",Injection,58 litres,Petrol,1384 mm,4718 mm,1843 mm,Sedan,4.0,,,13.57 km/litre,,1790 kg,7,,Ventilated Disc,Ventilated Disc,S sport suspension,S sport suspension,Electro-Hydraulic,All Windows,Yes,Smart Key,333PS@5400-6400RPM,500Nm@1370-4500rpm,Digital,Analog,Yes,5.0,Automatic,2811 mm,245/40R18,Yes,Yes,CD/MP3/DVD Player with USB & Aux-in,Yes,Yes,2 years / Unlimited Kms,Yes,"Internal, With Remote",,Yes,Yes,Yes,Digital,Front,Yes,Front & Rear,Yes,3rd/4th year( regardless of its mileage),Yes,Internal,Analog,Automatic,Analog + Digital,Yes,5.8 meter,Yes,Driver & Front Passenger,,3 Zone climate control,,Yes,Yes,,,,,Yes,,,,Yes,,,Yes,Yes,All Rows,2230 kg,"Rear passenger side airbags, Driver head airbag, Front passenger head airbag, Drive side airbag, Rear passenger head airbags, Driver frontal airbag, Front passenger frontal airbag, Front passenger side airbag",Yes,Yes,Yes,Yes,10.0,,"Rake, Reach",,,Front and rear sensors with camera,Yes,Yes,,,,Touch Sensitive,Multifunction Steering Wheel,Yes,Yes,Electric Adjustment with Memory,Yes
58,295,Bmw,X5,Xdrive30D Sport,7330000,2993 cc,6.0,4.0,AWD (All Wheel Drive),In-line,BS IV,"Front, Longitudinal",Injection,,Diesel,1745 mm,4922 mm,2218 mm,SUV,5.0,,,13.38 km/litre,,,8,,Ventilated Disc,Ventilated Disc,Sports suspension settings,Self-levelling with pneumatic rear suspension,Electric Power,All Windows,Yes,Smart Key,265HP@4000rpm,620Nm@1500-2500rpm,Digital,Analog,Yes,5.0,Automatic,2575 mm,255/50R19,Yes,Yes,CD Player with USB & Aux-in,Yes,Yes,2 years / Unlimited Kms,Yes,"Internal, With Remote",650 litres,Yes,Yes,Yes,Digital,Front & Rear,Yes,Front & Rear,Yes,,Yes,Internal,Analog,Automatic,Analog + Digital,Yes,,Yes,Driver & Front Passenger,,4 Zone climate control,Yes,Yes,Yes,,Yes,Yes,,Yes,,,,Yes,,,Yes,Yes,All Rows,,"Driver head airbag, Front passenger head airbag, Rear passenger head airbags, Curtain airbags, Driver frontal airbag, Front passenger frontal airbag",Yes,Yes,Yes,Yes,8.0,,"Rake, Reach",,,Front and rear sensors with camera,Yes,Yes,Yes,Yes,,Touch Sensitive,Multifunction Steering Wheel,Yes,Yes,Electric Adjustment with Memory,Yes
59,298,Ford,Mustang,Fastback V8,7462000,4951 cc,8.0,4.0,RWD (Rear Wheel Drive),V,BS IV,"Front, Longitudinal",Injection,60.9 litres,Petrol,1391 mm,4784 mm,2080 mm,"Sedan, Coupe",3.0,10 km/litre,13 km/litre,13 km/litre,,,6,137 mm,Ventilated Disc,Ventilated Disc,Double Ball Joint MacPherson Strut with Stabilizer Bar,Integral Link Independent with Coil Springs & Stabilizer Bar,Electro-Hydraulic,All Windows,"Yes, with memory",Smart Key,401PS@6550RPM,515Nm@4250-4300RPM,Digital,Analog,Yes,4.0,Automatic,2720 mm,,Yes,2,CD/MP3/DVD Player with USB & Aux-in,Yes,Yes,"2 Years / 100,000 Kms (whichever comes first)",Yes,"Internal, With Remote",,Yes,Yes,Yes,Digital,Front,Yes,Front,Yes,3 Years /100000 Kms (Whichever comes earlier),Yes,"Internal, With Remote",Digital,Automatic,Analog + Digital,Yes,,Yes,Driver & Front Passenger,Not Applicable,Fully automatic climate control,,Yes,Yes,,,,,Yes,,,,Yes,,,Yes,Yes,Front Row,,"Driver frontal airbag, Front passenger frontal airbag, Front passenger side airbag, Curtain airbags, Driver knee airbag, Drive side airbag, Driver curtain airbag",Yes,Yes,Yes,Yes,8.0,,"Rake, Reach",,,Front and rear sensors with camera,Yes,Yes,,,,Touch Sensitive,"With gear shift paddles, Multifunction Steering Wheel",Yes,Yes,Electric Adjustment with Memory,Yes
60,299,Jeep,Grand Cherokee,Limited,7882867,2987 cc,6.0,4.0,AWD (All Wheel Drive),V,BS IV,"Front, Longitudinal",Injection,93.5 litres,Diesel,1802 mm,4828 mm,1943 mm,SUV,5.0,12.8 km/litre,,12.8 km/litre,,2432 kg,,206 mm,Ventilated Disc,Ventilated Disc,Steel Suspension,Steel Suspension,Electro-Hydraulic,Only Front Windows,"Yes, with memory",Yes,240PS@3600rpm,570Nm@2000rpm,Digital,Analog,Yes,5.0,Automatic,2915 mm,265 / 60 R18,Yes,Yes,CD/MP3/DVD Player with USB & Aux-in,Yes,Yes,,Yes,With Remote,1025 litres,Yes,Yes,Yes,,Front & Rear,Yes,Front & Rear,Yes,,Yes,With Remote,Analog,Automatic,Analog,Yes,,Yes,Driver & Front Passenger,Not Applicable,Fully automatic climate control,,Yes,Yes,,,,,Yes,,,,,,,Yes,Yes,All Rows,2955 kg,"Driver frontal airbag, Front passenger frontal airbag, Front passenger side airbag, Drive side airbag",Yes,Yes,Yes,Yes,6.0,,"Rake, Reach",,,Front and rear sensors with camera,Yes,Yes,,,,Touch Sensitive,"Multifunction Steering Wheel, With gear shift paddles",Yes,Yes,Electric Adjustment with Memory,Yes
61,303,Mercedes-Benz E-Class Cabriolet,Mercedes-Benz E-Class Cabriolet,E400,7711338,2996 cc,6.0,4.0,,V,BS IV,"Front, Longitudinal",Injection,80 litres,Petrol,1398 mm,4703 mm,1786 mm,Convertible,2.0,4.5 km/litre,8.5 km/litre,10 km/litre,,1640 kg,,,Ventilated Disc,Ventilated Disc,"4-link air suspension, anti-dive, automatic level control & stabilizer","Multi-link, anti-dive, anti-lift, automatic level control & stabilizer",Electric Power,All Windows,,Smart Key,334PS@6000RPM,480Nm@1600-4000RPM,Analog,Analog,Yes,4.0,,2760 mm,255/35 R18,Yes,Yes,CD/MP3/DVD Player with USB & Aux-in,Yes,Yes,,Yes,Internal,540 litres,Yes,Yes,Yes,Digital,Front,Yes,Yes,Yes,,Yes,Internal,Analog,Automatic,Analog,Yes,5.6 meter,Yes,Driver & Front Passenger,Not Applicable,2 Zone Climate Control,,,Yes,,,,,,,,,Yes,,,Yes,Yes,All Rows,2140 kg,"Curtain airbags, Driver frontal airbag, Drive side airbag, Front passenger frontal airbag, Front passenger side airbag",Yes,Yes,Yes,Yes,6.0,10.3:1,"Rake, Reach",,,Front & rear sensors with 360 degree view,Yes,Yes,,,,Touch Sensitive,,Yes,Yes,Manual Adjustment,Yes
62,304,Bmw,M2 Competition,Coupe,8180000,2979 cc,6.0,4.0,RWD (Rear Wheel Drive),In-line,BS 6,"Front, Longitudinal",Injection,52 litres,Petrol,1410 mm,4461 mm,1854 mm,Coupe,2.0,12.5-12.7 km/litre,8.3-8.4 km/litre,9.8-10.0 km/litre,,1625 kg,7,,Ventilated Disc,Ventilated Disc,Adaptive M Suspension,Adaptive M Suspension,Electric Power,All Windows,Yes,Smart Key,410hp@5230-7000RPM,550Nm@2350-5230rpm,Digital,Analog,Yes,4.0,Automatic,2693 mm,R19,Yes,Yes,DVD Player with USB & Aux-in,Yes,Yes,2 years / Unlimited Kms,Yes,"With Remote, Internal",460 litres,Yes,Yes,,Digital,Front,Yes,Front,Yes,,Yes,Manual,Analog,Automatic,Analog + Digital,Yes,,Yes,Driver & Front Passenger,,2 Zone Climate Control,,,Yes,,,,,Yes,,,,Yes,,,Yes,Yes,Front Row,2010 kg,"Front passenger knee airbag, Rear passenger head airbags, Driver frontal airbag, Front passenger frontal airbag, Front passenger side airbag, Driver knee airbag, Driver head airbag, Front passenger head airbag, Drive side airbag",Yes,Yes,Yes,Yes,10.0,,"Rake, Reach",,,Front and rear sensors with camera,Yes,Yes,,,,Touch Sensitive,Multifunction Steering Wheel,Yes,Yes,Electric Adjustment with Memory,Yes
63,305,Porsche,718,Boxster,8995000,1988 cc,4.0,4.0,RWD (Rear Wheel Drive),Flat,BS IV,"Front, Longitudinal",Injection,54 litres,Petrol,1281 mm,4379 mm,1801 mm,Convertible,2.0,9 km/litre,7.4 km/litre,7.4 km/litre,,1440 kg,,,Ventilated Disc,Ventilated Disc,Independent MacPherson Strut with Coil Springs and Gas Charged Shock Absorbers,Independent MacPherson Strut with Coil Springs and Gas Charged Shock Absorbers,Hydraulic Power,Only Front Windows,Yes,Yes,300PS@6500rpm,380Nm@1950-4500RPM,Analog,Analog,Yes,2.0,Automatic,2475 mm,235/40 R18,Yes,Yes,CD/MP3/DVD Player with USB & Aux-in,Yes,Yes,,Yes,Internal,,Yes,Yes,Yes,Digital,Yes,Yes,Yes,Yes,,Yes,Internal,Analog,Manual,Analog,Yes,,,Driver & Front Passenger,Not Applicable,Fully automatic climate control,,,Yes,,,,,Yes,,,,,,,Yes,Yes,Yes,1650 kg,"Driver frontal airbag, Front passenger frontal airbag, Curtain airbags",Yes,Yes,Yes,Yes,4.0,,"Rake, Reach",,,Front and rear sensors with camera,Yes,Yes,,,,Touch Sensitive,,Yes,Yes,Electric Adjustment,Yes
64,307,Mercedes-Benz Gls,Mercedes-Benz Gls,350 Cdi,8820000,2987 cc,6.0,4.0,AWD (All Wheel Drive),V,BS IV,"Front, Longitudinal",Injection,100 litres,Diesel,1850 mm,5120 mm,1934 mm,SUV,4.0,6.5 km/litre,10.5 km/litre,11.6 km/litre,,2535 kg,7,307 mm,Ventilated Disc,Ventilated Disc,"4-link air suspension, anti-dive, automatic level control & stabilizer","Multi-link, anti-dive, anti-lift, automatic level control & stabilizer",Electric Power,All Windows,"Yes, with memory",,258PS@3600rpm,619Nm@1600-2400RPM,,,,5.0,Automatic,3075 mm,19,,,CD Player with Aux-in,,,3rd years /Unlimited Kms (years/distance whichever comes first),Yes,Internal,,,Yes,,,,,,,4th year /with (absolutely no mileage restriction),,Internal,,Automatic,Analog,Yes,6.2 meter,Yes,Driver & Front Passenger,,2 Zone Climate Control,,Yes,,,,,,Yes,,,,,,,Yes,Yes,,3250 kg,"Driver frontal airbag, Front passenger frontal airbag, Rear passenger side airbags, Driver knee airbag, Front passenger pelvic airbag, Driver pelvic airbag, Curtain airbags",Yes,Yes,Yes,,9.0,17.7:1,"Reach, Rake",,,Front & rear sensors with 360 degree view,Yes,,,,,,Multifunction Steering Wheel,,Yes,Electric Adjustment,Yes
65,312,Toyota,Land Cruiser Prado,Vx L,9630000,2982 cc,4.0,4.0,4WD,In-line,BS IV,"Front, Longitudinal",Injection,87 litres,Diesel,1880 mm,4840 mm,1885 mm,SUV,5.0,7 km/litre,11 km/litre,11.13 km/litre,,,5,,Ventilated Disc,Ventilated Disc,Double wishbone,4-Link with Air Spring,Electric Power,All Windows,"Yes, with memory",Smart Key,173PS@3400rpm,410Nm@1600-2800rpm,Digital,Analog,Yes,7.0,Automatic,2790 mm,265/60R18,Yes,2,DVD Player with USB & Aux-in,Yes,Yes,3 years /100000 Kms (years/distance whichever comes first),Yes,"Internal, With Remote",,Yes,Yes,Yes,Digital,Front & Rear,Yes,Front & Rear,Yes,,Yes,Internal,Analog,Manual,Analog + Digital,Yes,5.8 meter,Yes,Driver & Front Passenger,Yes,3 Zone climate control,,Yes,Yes,,,,,Yes,,,,Yes,,,Yes,Yes,All Rows,2990 kg,"Curtain airbags, Drive side airbag, Driver frontal airbag, Front passenger frontal airbag, Front passenger side airbag, Driver knee airbag",Yes,Yes,Yes,Yes,7.0,17.9:1,"Rake, Reach",,,Front and rear sensors with camera,Yes,Yes,,,,Touch Sensitive,Multifunction Steering Wheel,Yes,Yes,Electric Adjustment with Memory,Yes
66,313,Lexus,Rx 450H,450Hl Luxury,9900000,3456 cc,6.0,4.0,AWD (All Wheel Drive),V,BS IV,"Front, Transverse",Injection,65 litres,Petrol,1700 mm,5000 mm,1895 mm,SUV,4.0,18.8 km/litre,,18 km/litre,,2195 kg,,,Ventilated Disc,Ventilated Disc,MacPherson strut type (Front),Double wishbone type,Electric Power,All Windows,"Yes, with memory",Smart Key,262PS@6000rpm,335Nm@4600rpm,Digital,Analog,Yes,5.0,Automatic,2790 mm,235/60VR18,Yes,Yes,CD/MP3/DVD Player with USB & Aux-in,Yes,Yes,,Yes,"Manual, With Remote",,Yes,Yes,Yes,Analog,Front & Rear,Yes,Front & Rear,Yes,,Yes,"With Remote, Internal",Digital,Automatic,Analog + Digital,Yes,,Yes,Driver & Front Passenger,Not Applicable,2 Zone Climate Control,Yes,Yes,Yes,,Yes,Yes,"Normal, Comfort, Eco, Sport",Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,All Rows,2840 kg,"Drive side airbag, Front passenger curtain airbag, Driver curtain airbag, Rear passenger curtain airbags, Driver frontal airbag, Front passenger frontal airbag, Curtain airbags, Front passenger side airbag, Rear passenger side airbags, Driver knee airbag",Yes,Yes,Yes,Yes,10.0,13.0:1,"Rake, Reach",,,Front & rear sensors with 360 degree view,Yes,Yes,Yes,Yes,,Touch Sensitive,Multifunction Steering Wheel,Yes,Yes,Electric Adjustment with Memory,Yes
67,357,Bajaj,Qute (Re60),Qcar,263000,216 cc,,1.0,RWD (Rear Wheel Drive),In-line,BS IV,"Front, Transverse",Injection,,Petrol,1652 mm,2752 mm,1312 mm,Hatchback,4.0,,,35 km/litre,,,5,,Drum,Drum,Hydraulic Telescopic Shock Absorber,Hydraulic Telescopic Shock Absorber,,,,,13bhp@5500rpm,18.9Nm@4000rpm,Yes,Yes,Yes,4.0,Manual,1925 mm,R12,,Yes,Not on offer,,,,,Manual,20 litres,,,Yes,Yes,Not on offer,Yes,,Yes,,,Manual,Yes,Manual,Analog,Yes,3.5 meter,Yes,Driver Only,Not Applicable,,,,,Yes,Yes,Yes,Normal,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,
68,359,Maruti Suzuki,Alto,Std,294800,796 cc,3.0,4.0,FWD (Front Wheel Drive),In-line,BS 6,"Front, Transverse",Injection,35 litres,Petrol,1475 mm,3445 mm,1490 mm,Hatchback,5.0,,,22.05 km/litre,,730 kg,5,160 mm,Solid Disc,Drum,"Gas Filled Mc Pherson Strut, Torsion Roll Control Devic",Coil spring gas filled shock absorbers with three link rigid axle and isolated trailing arms,,,,,48PS@6000rpm,69Nm@3500rpm,Digital,Analog,Yes,5.0,Manual,2360 mm,145/80R12,,,Not on offer,,,2 years /40000 Kms (years/distance whichever comes first),,Internal,,,,Yes,,Front,,Front,Yes,"3rd/4th year/up to 80,000 Kms (whichever comes first)",,Internal,Digital,Manual,Analog + Digital,Yes,,Yes,Driver Only,Not Applicable,,Yes,,,,,,,Yes,,,,,,,,,,1185 kg,,,,,,,10.3:1,,,,,,,,,,,,,,,
69,367,Maruti Suzuki,S-Presso,Std,370500,998 cc,3.0,4.0,FWD (Front Wheel Drive),In-line,BS 6,"Front, Transverse",Injection,27 litres,Petrol,1549 mm,3565 mm,1520 mm,Hatchback,5.0,,,21.4 km/litre,,726 kg,5,,Ventilated Disc,Drum,Macpherson strut with Coil Spring,Torsion beam with coil spring,,,,,67PS@5500rpm,90Nm@3500rpm,Digital,Analog,Yes,5.0,Manual,2380 mm,145/80 R13,,,Not on offer,,,,,Internal,,,,Yes,,Not on offer,,,,,,Internal,Analog,Manual,Analog,Yes,4.5 meter,Yes,,,,Yes,,,,,,Normal,Yes,Yes,,Yes,,,,Yes,,,1170 kg,Driver frontal airbag,Yes,Yes,,,1.0,11.0:1,,,,Rear sensors,,,,,,,,,,,
70,377,Maruti Suzuki,Celerio,Lxi,426289,998 cc,3.0,4.0,FWD (Front Wheel Drive),In-line,BS 6,"Front, Transverse",Injection,35 litres,Petrol,1560 mm,3600 mm,1600 mm,Hatchback,5.0,23 km/litre,,23.1 km/litre,,810 kg,5,165 mm,Ventilated Disc,Drum,Macpherson strut with Coil Spring,Coupled Torsion Beam Axle with coil spring,Electric Power,,,,68PS@6000rpm,90Nm@3500rpm,Digital,Analog,Yes,5.0,Manual,2425 mm,155/80R13,,,Not on offer,,,2 years /40000 Kms (years/distance whichever comes first),,Manual,235 litres,,,Yes,Digital,Front,Yes,Front & Rear,Yes,"3rd/4th year/up to 80,000 Kms (whichever comes first)",,Internal,Digital,Manual,Analog + Digital,Yes,4.7 meter,Yes,Driver & Front Passenger,Not Applicable,Manual Air conditioning with cooling and heating,Yes,,,,,,,Yes,,,,,,,,Yes,,1250 kg,,Yes,,,,,,,,,,Yes,,,,,,,,,,
71,388,Hyundai,Grand I10 Prime,Era T Crdi,551530,1120 cc,3.0,4.0,FWD (Front Wheel Drive),,BS IV,"Front, Transverse",Injection,43 litres,Diesel,1520 mm,3765 mm,1660 mm,Hatchback,5.0,24 km/litre,24 km/litre,,,,5,,Solid Disc,Drum,MacPherson Strut,Coupled Torsion Beam Axle,Electric Power,,,,71PS@4000rpm,16.3Nm@1500-2750RPM,Yes,Yes,,5.0,Manual,2425 mm,14,,Yes,Not on offer,,Yes,,,Internal,256 litres,,,Yes,,Not on offer,,Front & Rear,,,,Internal,Yes,Automatic,Analog,Yes,,Yes,Driver & Front Passenger,Not Applicable,Manual Air conditioning with cooling and heating,,,Yes,,,,,Yes,,,,,,,,,Yes,,,Yes,,Yes,Yes,,,,2-Tone Beige & Black Interior Key Colour Blue Interior Illumination Front & Rear Door Mapping Pockets Front Room Lamp,"Chrome Radiator Grille Wraparound Clear Lens Headlamps & Tail Lamps, Bumpers Tubeless Tyres",Rear sensors with camera,,,,,,,,Yes,,Manual Adjustment,
72,394,Mahindra,Kuv100 Nxt,K2 6Str,488194,1198 cc,3.0,4.0,FWD (Front Wheel Drive),In-line,BS IV,"Front, Longitudinal",Injection,35 litres,Petrol,1655 mm,3700 mm,1735 mm,Hatchback,5.0,15.5 km/litre,18.15 km/litre,18.15 km/litre,,,5,170 mm,Ventilated Disc,Drum,Independent McPherson struts with offset coil spring/twin tube gas damper units and lower L-arms with optimised bushes mounted on separate cross-member with stabiliser bar. Dual-path body mounts.,"Semi-independent, Twist Beam with Coil Springs and Hydraulic Shock Absorbers",Electric Power,,,,82PS@5500RPM,115NM@3500-3600RPM,Digital,"Analog, Digital",Yes,6.0,Manual,2385 mm,185/65R14,,1,Not on offer,,Yes,"2 years /1,00,000 Kms (years/distance whichever comes first)",,Internal,243 litres,,,Yes,Digital,Front,Yes,Front & Rear,Yes,Up to 5 Year /,,Internal,Digital,Manual,Analog + Digital,Yes,,Yes,,Not Applicable,Manual Air conditioning with cooling and heating,,,Yes,,,,,Yes,,,,Yes,,,Yes,Yes,Front Row,,,,Yes,,Yes,,,Rake,,,,Yes,,,,,,,,,,
73,416,Maruti Suzuki,Swift,Lxi,519000,1197 cc,4.0,4.0,FWD (Front Wheel Drive),In-line,BS 6,"Front, Transverse",Injection,37 litres,Petrol,1530 mm,3840 mm,1735 mm,Hatchback,5.0,12.6 km/litre,17 km/litre,20.4 km/litre,,855 kg,5,163 mm,Ventilated Disc,Drum,MacPherson Strut,Torsion Beam,Electric Power,,,,83PS@6000rpm,113Nm@4200RPM,Digital,Analog,Yes,5.0,Manual,2450 mm,165/80 R14,,Yes,Not on offer,,Yes,2 years /40000 Kms (years/distance whichever comes first),,With Remote,268 litres,,,Yes,Digital,Front,Yes,Front & Rear,Yes,"3rd/4th year/up to 80,000 Kms (whichever comes first)",,With Remote,Analog,Manual,Analog + Digital,Yes,4.8 meter,Yes,Driver & Front Passenger,Not Applicable,Manual Air conditioning with cooling and heating,Yes,,,,,,,Yes,,,,,,,Yes,Yes,All Rows,1315 kg,"Driver frontal airbag, Front passenger frontal airbag",Yes,Yes,Yes,Yes,2.0,11.0:1,Rake,,,,Yes,,,,,,,,Yes,,
